지점, 현재일기, 시정, 운량, 중하운량, 현재기온, 이슬점온도, 체감온도, 일강수, 적설, 습도, 풍향, 풍속, 해면기압
강릉,  , 20 이상,  ,  , -4.7, -21.7, -10.2,  ,  , 25, 서남서, 14.8, 1021.6
강진군,  , 20 이상,  ,  , -1.6, -8.1, -3.8,  , 2.6, 61, 동, 5.8, 1027.5
강화,  , 20 이상,  ,  , -7.4, -18.4, -7.4,  ,  , 41, 동남동, 4.3, 1027.8
거제,  , 20 이상,  ,  , -1.1, -13.0, -3.5,  ,  , 40, 서북서, 6.5, 1026.3
거창,  , 20 이상,  ,  , -2.8, -13.1, -5.7,  ,  , 45, 북서, 7.2, 1025.2
경주시,  , 20 이상,  ,  , -5.2, -17.0, -11.7,  ,  , 39, 북서, 19.4, 1025.0
고산,  , 20 이상,  ,  , 3.3, -2.0, -3.4, 0.7,  , 68, 북서, 46.4, 1027.0
고창,  , 20 이상,  ,  , -5.9, -10.3, -5.9, 0.3, 8.2, 71, 서북서, 3.2, 1028.1
고창군,  , 20 이상,  ,  , -6.0, -10.5, -8.6, 0.0, 15.1, 70, 서북서, 5.4, 1028.2
고흥,  , 20 이상,  ,  , -3.2, -9.8, -6.7,  ,  , 60, 서, 8.6, 1026.9
광양시,  , 15.0,  ,  , -0.7, -10.6, -5.4,  ,  , 47, 서, 15.8, 1026.2
광주, 맑음, 18.6, 0, 0, -4.3, -9.7, -4.3,  , 11.1, 66, 정온, 1.4, 1027.7
구미,  , 20 이상,  ,  , -4.5, -16.0, -8.9,  ,  , 40, 북서, 10.8, 1027.3
군산,  ,  ,  ,  , -6.1, -12.2, -9.7, 0.0, 2.5, 62, 북북서, 7.6, 1028.9
금산,  , 19.3,  ,  , -7.8, -14.4, -7.8,  , 2.4, 59, 서북서, 2.2, 1029.1
김해시,  , 20 이상,  ,  , -4.4, -17.2, -10.3,  ,  , 36, 서북서, 17.3, 1026.2
남원,  , 20 이상,  ,  , -5.3, -11.8, -7.8,  , 3.0, 60, 서남서, 5.4, 1028.3
남해,  , 20 이상,  ,  , -0.4, -10.3, -0.4,  ,  , 47, 남남동, 2.5, 1026.0
대관령,  , 20 이상,  ,  , -13.4, -24.1, -23.9,  ,  , 40, 서, 29.9, 1023.5
대구, 맑음, 19.7, 0, 0, -5.3, -15.1, -12.2,  ,  , 46, 서북서, 21.6, 1026.5
대전, 맑음, 20 이상, 0, 0, -7.2, -15.8, -7.2,  , 1.2, 50, 북동, 3.2, 1028.9
동두천, 맑음, 20 이상, 0, 0, -9.1, -19.9, -11.9,  ,  , 41, 북, 5.0, 1028.3
동해,  , 20 이상,  ,  , -4.3, -24.5, -8.1,  ,  , 19, 북서, 9.0, 1021.4
목포, 약한 소낙눈, 17.2, 8, 8, -3.1, -8.7, -3.1, 0.7, 4.0, 65, 남남동, 4.0, 1028.1
문경,  , 20 이상,  ,  , -7.7, -18.9, -13.7,  ,  , 40, 북서, 14.0, 1026.4
밀양,  , 20 이상,  ,  , -2.5, -15.5, -2.5,  ,  , 36, 북북서, 2.9, 1025.2
백령도, 보통 눈 연속적, 0.7, 10, 9, -4.9, -5.8, -9.1, 1.1, 2.7, 93, 동, 9.7, 1025.2
보령,  , 19.6,  ,  , -6.4, -12.6, -10.1, 0.0, 1.4, 61, 동북동, 7.6, 1026.7
보성군,  , 20 이상,  ,  , -2.4, -8.4, -6.7,  ,  , 63, 서남서, 11.9, 1026.6
보은,  , 20 이상,  ,  , -8.7, -17.0, -8.7,  , 1.9, 51, 서남서, 3.6, 1028.3
봉화,  , 20 이상,  ,  , -8.9, -21.9, -16.1,  ,  , 34, 북북서, 18.0, 1025.4
부산, 맑음, 20 이상, 0, 0, -4.2, -17.4, -10.6,  ,  , 35, 서, 20.5, 1024.3
부안,  , 20 이상,  ,  , -5.9, -11.8, -5.9, 1.0, 21.0, 63, 남동, 3.2, 1028.6
부여,  , 19.6,  ,  , -7.0, -13.6, -10.8, 0.0, 0.1, 59, 동북동, 7.6, 1029.2
북강릉, 맑음, 20 이상, 0, 0, -4.2, -24.4, -9.1,  ,  , 19, 서북서, 13.0, 1020.5
북창원,  , 20 이상,  ,  , -1.5, -13.6, -1.5,  ,  , 39, 북, 2.5, 1025.9
북춘천, 맑음, 20 이상, 0, 0, -10.0, -21.3, -10.0,  ,  , 39, 남동, 3.2, 1027.8
산청,  , 20 이상,  ,  , -2.0, -12.1, -7.5,  ,  , 46, 북서, 18.4, 1026.1
상주,  , 20 이상,  ,  , -6.8, -17.5, -6.8,  ,  , 42, 서북서, 4.0, 1027.5
